iter	AUC	Logloss
396	0.810765475	0.5323485706
397	0.8108111024	0.5323001408
398	0.8108537197	0.5322499059
399	0.8109000325	0.5321982392
400	0.810947746	0.5321455765
401	0.8109954298	0.5320870002
402	0.8110663891	0.53200396
403	0.8111438155	0.5319052953
404	0.8111996651	0.5318455363
405	0.8112351894	0.5318071909
406	0.8112904429	0.531735978
407	0.8113526702	0.531672982
408	0.8114126325	0.5316132852
409	0.8114644885	0.531563735
410	0.811506927	0.5315006768
411	0.8115760684	0.5314336346
412	0.8116339445	0.5313634799
413	0.8116974831	0.5312938856
414	0.8117565513	0.5312282751
415	0.811797142	0.5311548835
416	0.8118656278	0.5310598915
417	0.8119221926	0.5310015642
418	0.811963886	0.530951765
419	0.8120261431	0.530889516
420	0.8121090531	0.5307997529
421	0.8121846914	0.5307061304
422	0.8122525215	0.5306337348
423	0.8122962713	0.5305839978
424	0.8123574257	0.5305141544
425	0.8124395609	0.5304294335
426	0.8125098944	0.5303543612
427	0.8125625849	0.5303051222
428	0.8125960529	0.5302378311
429	0.8126671314	0.5301691704
430	0.8127210736	0.5301067346
431	0.8127703667	0.5300554415
432	0.8128259182	0.5299946864
433	0.8128472567	0.5299464434
434	0.8129029274	0.5298917888
435	0.812980175	0.5298065699
436	0.8130653501	0.5297295056
437	0.8131281137	0.5296665096
438	0.8132027984	0.5295932425
439	0.813246727	0.5295489212
440	0.8133177757	0.5294757787
441	0.8133540154	0.5294190698
442	0.8134272695	0.5293402626
443	0.8134913445	0.5292712284
444	0.8135513663	0.529204124
445	0.8136118054	0.5291408167
446	0.8136696815	0.529078879
447	0.8137440681	0.5290011922
448	0.8137988448	0.5289075074
449	0.8138393462	0.5288430797
450	0.8138801455	0.5287917865
451	0.8139570355	0.5287081861
452	0.814021647	0.5286434471
453	0.8140825033	0.5285803266
454	0.8141300976	0.5285222483
455	0.8142096698	0.5284232101
456	0.8142957091	0.5283166398
457	0.8143680096	0.5282445555
458	0.8144358993	0.5281726578
459	0.8144811392	0.5281193104
460	0.8145370483	0.5280464168
461	0.8146089315	0.5279781919
462	0.8146938682	0.5278828887
463	0.8147486448	0.527813481
464	0.8148102462	0.5277448204
465	0.8148664236	0.527689481
466	0.8149225712	0.5276246798
467	0.8149667978	0.5275788645
468	0.8150280714	0.5275131918
469	0.8150888085	0.5274398625
470	0.8151397705	0.52735925
471	0.8152112365	0.527295009
472	0.8152673244	0.5272284026
473	0.8153416514	0.5271422499
474	0.8154006004	0.5270829266
475	0.8154537082	0.5270189347
476	0.8155091405	0.5269649648
477	0.8155480027	0.5269008483
478	0.8155921102	0.5268455089
479	0.8156429231	0.5267970792
480	0.815692544	0.5267313442
481	0.815764308	0.5266646755
482	0.8158198595	0.5266013683
483	0.8158893585	0.5265281634
484	0.8159199357	0.5264736956
485	0.8159761429	0.5264182939
486	0.8160313368	0.5263659425
